Time,Type,Username,Domain,Workstation
November 16 2023 11:59:58 PM,SSH Login Success,root,,emergeapp24- oracle
November 16 2023 11:59:58 PM,SSH Login Success,root,,emergeapp24- oracle
November 16 2023 11:59:58 PM,SSH Logout,root,,
November 16 2023 11:59:58 PM,SSH Login Success,root,,localhost
November 16 2023 11:59:58 PM,SSH Logout,root,,
November 16 2023 11:59:58 PM,SSH Logout,root,,
November 16 2023 11:59:58 PM,SSH Login Success,root,,emergeapp24- oracle
November 16 2023 11:59:58 PM,SSH Login Success,root,,emergeapp24- oracle
November 16 2023 11:59:58 PM,SSH Login Success,root,,emergeapp24- oracle
November 16 2023 11:59:58 PM,SSH Login Success,root,,localhost
November 16 2023 11:59:58 PM,SSH Login Success,root,,emergeapp24- oracle
November 16 2023 11:59:57 PM,SSH Logout,root,,
November 16 2023 11:59:57 PM,SSH Logout,root,,
November 16 2023 11:59:57 PM,SSH Login Success,root,,ms-app1-db
November 16 2023 11:59:57 PM,SSH Login Success,root,,ms-app1-db
November 16 2023 11:59:57 PM,SSH Logout,root,,
November 16 2023 11:59:57 PM,SSH Logout,root,,
November 16 2023 11:59:57 PM,SSH Login Success,root,,localhost
November 16 2023 11:59:57 PM,SSH Login Success,root,,ms-app1-db
November 16 2023 11:59:57 PM,SSH Login Success,root,,emergeapp24- oracle
November 16 2023 11:59:57 PM,SSH Login Success,root,,localhost
November 16 2023 11:59:57 PM,SSH Login Success,root,,emergeapp24- oracle
November 16 2023 11:59:57 PM,SSH Login Success,root,,ms-app1-db
November 16 2023 11:59:28 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 16 2023 11:59:28 PM,SSH Logout,ubuntu,,
November 16 2023 11:59:28 PM,SSH Logout,root,,
November 16 2023 11:59:28 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 16 2023 11:59:28 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 16 2023 11:59:28 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 16 2023 11:59:27 PM,SSH Logout,ubuntu,,
November 16 2023 11:59:27 PM,SSH Login Success,root,,ip-10-100-3-136
November 16 2023 11:59:27 PM,SSH Login Success,root,,emerge-bangalore- vla
November 16 2023 11:59:27 PM,SSH Logout,root,,
November 16 2023 11:59:27 PM,SSH Login Success,root,,emerge-bangalore- vla
November 16 2023 11:59:27 PM,SSH Logout,root,,
November 16 2023 11:59:27 PM,SSH Login Success,root,,ip-10-101-3-237
November 16 2023 11:59:27 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 16 2023 11:59:27 PM,SSH Login Success,root,,ip-10-100-3-136
November 16 2023 11:59:27 PM,SSH Logout,root,,
November 16 2023 11:59:27 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 16 2023 11:59:27 PM,SSH Login Success,root,,emerge-bangalore- vla
November 16 2023 11:59:27 PM,SSH Login Success,root,,emerge-bangalore- vla
November 16 2023 11:59:27 PM,SSH Logout,ubuntu,,
November 16 2023 11:59:27 PM,SSH Login Success,root,,ip-10-100-1-191
November 16 2023 11:59:27 PM,SSH Logout,root,,
