Time,Type,Username,Domain,Workstation
November 15 2023 11:59:48 PM,SSH Login Success,root,,localhost
November 15 2023 11:59:48 PM,SSH Login Success,root,,ip-10-100-3-136
November 15 2023 11:59:48 PM,SSH Logout,root,,
November 15 2023 11:59:48 PM,SSH Login Success,root,,emerge- managementserver
November 15 2023 11:59:48 PM,SSH Logout,root,,
November 15 2023 11:59:48 PM,SSH Login Success,ubuntu,,ip-10-100-3-136
November 15 2023 11:59:48 PM,SSH Login Success,root,,ip-10-100-3-136
November 15 2023 11:59:48 PM,SSH Login Success,root,,localhost
November 15 2023 11:59:48 PM,SSH Logout,root,,
November 15 2023 11:59:48 PM,SSH Login Success,root,,ip-10-100-1-191
November 15 2023 11:59:48 PM,SSH Logout,root,,
November 15 2023 11:59:48 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 15 2023 11:59:48 PM,SSH Login Success,root,,ip-10-101-3-237
November 15 2023 11:59:48 PM,SSH Logout,root,,
November 15 2023 11:59:48 PM,SSH Logout,root,,
November 15 2023 11:59:48 PM,SSH Logout,root,,
November 15 2023 11:59:48 PM,SSH Logout,root,,
November 15 2023 11:59:48 PM,SSH Login Success,root,,ip-10-100-3-136
November 15 2023 11:59:48 PM,SSH Logout,root,,
November 15 2023 11:59:48 PM,SSH Login Success,ubuntu,,ip-10-101-3-237
November 15 2023 11:59:48 PM,SSH Logout,root,,
November 15 2023 11:59:48 PM,SSH Logout,ubuntu,,
November 15 2023 11:59:48 PM,SSH Login Success,root,,emerge- managementserver
November 15 2023 11:59:48 PM,SSH Login Success,root,,emerge- managementserver
November 15 2023 11:59:48 PM,SSH Login Success,root,,localhost
November 15 2023 11:59:48 PM,SSH Login Success,root,,localhost
November 15 2023 11:59:48 PM,SSH Login Success,root,,emerge- managementserver
November 15 2023 11:59:48 PM,SSH Login Success,root,,emerge- managementserver
November 15 2023 11:59:48 PM,SSH Login Success,root,,emerge- managementserver
