"Time","Type","Username","Domain","Workstation"
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","root","","ip-10-101-3-237"
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","","emerge-"
"","SSH Login Success","root","",""
"11:56:45","","","","managementserver"
"PM","","","",""
"November","","","",""
"15 2023","","","","emerge-"
"","SSH Login Success","root","",""
"11:56:45","","","","managementserver"
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:56:45","","","",""
"PM","","","",""
