"Time","Type","Username","Domain","Workstation"
"November","","","",""
"15 2023","","","","emerge-bangalore-"
"","SSH Login Success","root","",""
"11:57:51","","","","vla"
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:57:51","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:57:51","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","","emerge-bangalore-"
"","SSH Login Success","root","",""
"11:57:51","","","","vla"
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-100-3-136"
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:57:24","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:57:24","","","",""
"PM","","","",""
