"Time","Type","Username","Domain","Workstation"
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:59:01","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:59:01","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:59:01","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:58:40","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:58:40","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:58:40","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-100-3-136"
"11:58:40","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:58:40","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:58:40","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:58:40","","","",""
"PM","","","",""
