"Time","Type","Username","Domain","Workstation"
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:58:39","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:58:39","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:58:39","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","","management-"
"","SSH Login Success","root","",""
"11:57:51","","","","serverdb"
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:57:51","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Login Success","root","","ip-10-101-1-34"
"11:57:51","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","","management-"
"","SSH Login Success","root","",""
"11:57:51","","","","serverdb"
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:57:51","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","root","",""
"11:57:51","","","",""
"PM","","","",""
"November","","","",""
"15 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:57:51","","","",""
"PM","","","",""
