"Time","Type","Username","Domain","Workstation"
"November","","","",""
"21 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:48:35","","","","oracle"
"PM","","","",""
"November","","","",""
"21 2023","","","","emerge-bangalore-"
"","SSH Login Success","root","",""
"11:48:35","","","","vla"
"PM","","","",""
"November","","","",""
"21 2023","","","","emerge-bangalore-"
"","SSH Login Success","root","",""
"11:48:35","","","","vla"
"PM","","","",""
"November","","","",""
"21 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:48:35","","","","oracle"
"PM","","","",""
"November","","","",""
"21 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:48:35","","","","oracle"
"PM","","","",""
"November","","","",""
"21 2023","","","","management-"
"","SSH Login Success","root","",""
"11:48:35","","","","serverdb"
"PM","","","",""
"November","","","",""
"21 2023","","","","management-"
"","SSH Login Success","root","",""
"11:48:35","","","","serverdb"
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:48:34","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","","emerge-bangalore-"
"","SSH Login Success","root","",""
"11:48:34","","","","vla"
"PM","","","",""
"November","","","",""
"21 2023","","","","emerge-bangalore-"
"","SSH Login Success","root","",""
"11:48:34","","","","vla"
"PM","","","",""
