"Time","Type","Username","Domain","Workstation"
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:55:27","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","root","",""
"11:55:27","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:54:43","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","root","",""
"11:54:43","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:53:56","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:53:56","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","root","",""
"11:53:56","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:53:56","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-100-3-136"
"11:53:56","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","root","",""
"11:53:56","","","",""
"PM","","","",""
