"Time","Type","Username","Domain","Workstation"
"November","","","",""
"21 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:53:56","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:53:56","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","root","",""
"11:53:56","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:53:56","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","root","","ip-10-101-3-237"
"11:53:56","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:53:56","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Login Success","root","","localhost"
"11:53:13","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","root","",""
"11:53:13","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","root","",""
"11:53:04","","","",""
"PM","","","",""
"November","","","",""
"21 2023","","","",""
"","SSH Logout","root","",""
"11:53:04","","","",""
"PM","","","",""
