"Time","Type","Username","Domain","Workstation"
"November","","","",""
"17 2023","","","",""
"","SSH Logout","root","",""
"11:58:39","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Logout","root","",""
"11:58:39","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:58:39","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Logout","root","",""
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Logout","root","",""
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:58:37","","","",""
"PM","","","",""
