"Time","Type","Username","Domain","Workstation"
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","msapp2-vla"
"11:59:58","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","msapp2-vla"
"11:59:58","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","","management-"
"","SSH Login Success","root","",""
"11:59:57","","","","serverdb"
"PM","","","",""
"November","","","",""
"17 2023","","","","management-"
"","SSH Login Success","root","",""
"11:59:57","","","","serverdb"
"PM","","","",""
"November","","","",""
"17 2023","","","","management-"
"","SSH Login Success","root","",""
"11:59:57","","","","serverdb"
"PM","","","",""
"November","","","",""
"17 2023","","","","management-"
"","SSH Login Success","root","",""
"11:59:57","","","","serverdb"
"PM","","","",""
