"Time","Type","Username","Domain","Workstation"
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","ip-172-31-20-197"
"11:56:12","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:56:12","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:54:59","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:54:55","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-100-3-136"
"11:54:55","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:54:55","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:54:55","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:54:55","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","ip-10-101-3-237"
"11:54:55","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:54:38","","","",""
"PM","","","",""
