"Time","Type","Username","Domain","Workstation"
"November","","","",""
"17 2023","","","",""
"","SSH Logout","root","",""
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","ip-10-101-3-237"
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Logout","root","",""
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-100-3-136"
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Logout","root","",""
"11:58:37","","","",""
"PM","","","",""
"November","","","",""
"17 2023","","","",""
"","SSH Login Success","root","","ip-10-101-1-34"
"11:57:54","","","",""
"PM","","","",""
