"Time","Type","Username","Domain","Workstation"
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:57:41","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:57:41","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:57:41","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:57:41","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","","management-"
"","SSH Login Success","root","",""
"11:57:37","","","","serverdb"
"PM","","","",""
"November","","","",""
"13 2023","","","","management-"
"","SSH Login Success","root","",""
"11:57:37","","","","serverdb"
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:57:37","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","","management-"
"","SSH Login Success","root","",""
"11:57:37","","","","serverdb"
"PM","","","",""
"November","","","",""
"13 2023","","","","management-"
"","SSH Login Success","root","",""
"11:57:37","","","","serverdb"
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:57:37","","","",""
"PM","","","",""
