"Time","Type","Username","Domain","Workstation"
"November","","","",""
"13 2023","","","","emerge-"
"","SSH Login Success","root","",""
"11:56:51","","","","managementserver"
"PM","","","",""
"November","","","",""
"13 2023","","","","emerge-"
"","SSH Login Success","root","",""
"11:56:42","","","","managementserver"
"PM","","","",""
"November","","","",""
"13 2023","","","","emerge-"
"","SSH Login Success","root","",""
"11:56:03","","","","managementserver"
"PM","","","",""
"November","","","",""
"13 2023","","","","emerge-"
"","SSH Login Success","root","",""
"11:56:02","","","","managementserver"
"PM","","","",""
"November","","","",""
"13 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:55:37","","","","oracle"
"PM","","","",""
"November","","","",""
"13 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:55:37","","","","oracle"
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:52:42","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-100-3-136"
"11:52:42","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:52:41","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:52:41","","","",""
"PM","","","",""
