"Time","Type","Username","Domain","Workstation"
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:52:41","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:52:41","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:52:41","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:52:41","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","localhost"
"11:52:41","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","localhost"
"11:52:41","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:52:36","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:52:36","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","ip-10-101-3-237"
"11:52:36","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:52:36","","","",""
"PM","","","",""
