"Time","Type","Username","Domain","Workstation"
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:56:51","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:56:51","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","","emerge-"
"","SSH Login Success","root","",""
"11:56:51","","","","managementserver"
"PM","","","",""
"November","","","",""
"13 2023","","","","emerge-"
"","SSH Login Success","root","",""
"11:56:42","","","","managementserver"
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:56:42","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:56:42","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","","emerge-"
"","SSH Login Success","root","",""
"11:56:03","","","","managementserver"
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:56:03","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","","emerge-"
"","SSH Login Success","root","",""
"11:56:02","","","","managementserver"
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:56:02","","","",""
"PM","","","",""
