"Time","Type","Username","Domain","Workstation"
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:52:06","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:51:44","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:51:44","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:51:44","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-100-3-136"
"11:51:44","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:51:44","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:51:44","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:51:43","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:51:43","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Logout","root","",""
"11:51:43","","","",""
"PM","","","",""
