"Time","Type","Username","Domain","Workstation"
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:49:46","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-100-3-136"
"11:49:46","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","ip-10-100-3-136"
"11:49:46","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:49:46","","","","oracle"
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:49:46","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:49:46","","","","oracle"
"PM","","","",""
"November","","","",""
"13 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:49:46","","","","oracle"
"PM","","","",""
"November","","","",""
"13 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:49:46","","","","oracle"
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:49:46","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","ip-10-101-3-237"
"11:49:46","","","",""
"PM","","","",""
