"Time","Type","Username","Domain","Workstation"
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","msapp2-vla"
"11:59:01","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","msapp2-vla"
"11:59:01","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:58:03","","","","oracle"
"PM","","","",""
"November","","","",""
"13 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:58:03","","","","oracle"
"PM","","","",""
"November","","","",""
"13 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:58:03","","","","oracle"
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","localhost"
"11:58:02","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","localhost"
"11:58:02","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:58:02","","","","oracle"
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","ms-app1-db"
"11:58:02","","","",""
"PM","","","",""
"November","","","",""
"13 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:57:41","","","",""
"PM","","","",""
