"Time","Type","Username","Domain","Workstation"
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:59:39","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:59:35","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","root","","ip-10-101-3-237"
"11:59:35","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:59:31","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:59:31","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:59:31","","","",""
"PM","","","",""
