"Time","Type","Username","Domain","Workstation"
"November","","","",""
"19 2023","","","",""
"","SSH Logout","root","",""
"11:57:01","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","root","","msapp2-vla"
"11:57:01","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","root","","msapp2-vla"
"11:57:01","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","root","","msapp2-vla"
"11:57:01","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","root","","msapp2-vla"
"11:57:01","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Logout","root","",""
"11:57:01","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Logout","root","",""
"11:57:01","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Logout","root","",""
"11:57:01","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","","emerge-bangalore-"
"","SSH Login Success","root","",""
"11:57:01","","","","vla"
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Logout","root","",""
"11:57:01","","","",""
"PM","","","",""
