"Time","Type","Username","Domain","Workstation"
"November","","","",""
"19 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:57:31","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","","emerge-bangalore-"
"","SSH Login Success","root","",""
"11:57:31","","","","vla"
"PM","","","",""
"November","","","",""
"19 2023","","","","emerge-bangalore-"
"","SSH Login Success","root","",""
"11:57:31","","","","vla"
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Logout","root","",""
"11:57:31","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","root","","ip-10-101-1-34"
"11:57:31","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Logout","root","",""
"11:57:31","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Logout","root","",""
"11:57:31","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Logout","root","",""
"11:57:31","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:57:31","","","",""
"PM","","","",""
"November","","","",""
"19 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:57:31","","","",""
"PM","","","",""
