"Time","Type","Username","Domain","Workstation"
"November","","","",""
"16 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:56:50","","","","oracle"
"PM","","","",""
"November","","","",""
"16 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:56:50","","","","oracle"
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Logout","root","",""
"11:56:50","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-100-3-136"
"11:56:50","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:56:50","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Logout","root","",""
"11:56:50","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:56:50","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Logout","root","",""
"11:56:50","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:56:50","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Login Success","ubuntu","","ip-10-101-3-237"
"11:56:50","","","",""
"PM","","","",""
