"Time","Type","Username","Domain","Workstation"
"November","","","",""
"16 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:59:27","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:59:27","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Login Success","root","","management-vla"
"11:59:27","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Logout","root","",""
"11:59:27","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Logout","root","",""
"11:59:27","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Login Success","root","","ip-10-100-1-191"
"11:59:27","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Logout","ubuntu","",""
"11:59:27","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Login Success","root","","ip-10-101-1-34"
"11:58:46","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Logout","root","",""
"11:58:46","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","","management-"
"","SSH Login Success","root","",""
"11:58:46","","","","serverdb"
"PM","","","",""
