"Time","Type","Username","Domain","Workstation"
"November","","","",""
"16 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:59:58","","","","oracle"
"PM","","","",""
"November","","","",""
"16 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:59:58","","","","oracle"
"PM","","","",""
"November","","","",""
"16 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:59:58","","","","oracle"
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Logout","root","",""
"11:59:58","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Login Success","root","","localhost"
"11:59:58","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Logout","root","",""
"11:59:58","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","",""
"","SSH Logout","root","",""
"11:59:58","","","",""
"PM","","","",""
"November","","","",""
"16 2023","","","","emergeapp24-"
"","SSH Login Success","root","",""
"11:59:57","","","","oracle"
"PM","","","",""
